191501      4.40672      5.81413      3.39451      3.42100
191601      4.39445      5.86363      3.38099      3.43076
191701      4.39445      6.01127      3.49953      3.45632
191801      4.41884      6.18002      3.75185      3.49651
191901      4.43082      6.28040      3.88978      3.59731
192001      4.41884      6.40109      3.99820      3.77276
192101      4.38203      6.50966      4.11741      3.88978
192201      4.44265      6.31825      3.84374      4.10429
192301      4.46591      6.30609      3.77506      4.07584
192401      4.46591      6.43390      3.80888      4.01458
192501      4.45435      6.43887      3.79997      4.02714
192601      4.47734      6.44604      3.87950      4.03601
192701      4.46591      6.49118      3.91202      4.03247
192801      4.46591      6.47728      3.87536      4.02535
192901      4.46591      6.46630      3.86283      4.01818
193001      4.45435      6.52810      3.87536      4.00551
193101      4.45435      6.40490      3.82647      3.99820
193201      4.43082      6.24514      3.63231      3.98713
193301      4.43082      5.96563      3.44999      3.94158
193401      4.44265      5.89302      3.42100      3.87120
193501      4.41884      6.02224      3.52930      3.80221
193601      4.45435      6.12949      3.59731      3.80444
193701      4.45435      6.24843      3.60821      3.80666
193801      4.45435      6.31010      3.64545      3.81551
193901      4.48864      6.21800      3.57235      3.84802
194001      4.51086      6.28114      3.54674      3.86073
194101      4.53260      6.34581      3.56105      3.85439
194201      4.52179      6.53785      3.64806      3.86073
194301      4.53260      6.76250      3.80888      3.88773
194401      4.56435      6.88018      3.91801      3.95316
194501      4.57471      6.95854      3.90399      3.98155
194601      4.59512      6.97195      3.92593      4.01998
194701      4.57471      7.02447      4.06217      4.04130
194801      4.54329      7.06578      4.25703      4.08429
194901      4.54329      7.15680      4.33860      4.17285
195001      4.55388      7.13847      4.29729      4.24276
195101      4.54329      7.22111      4.31080      4.25277
195201      4.55388      7.27939      4.41643      4.26409
195301      4.56435      7.33158      4.43438      4.32678
195401      4.56435      7.37695      4.41884      4.35028
195501      4.57471      7.38038      4.41643      4.36945
195601      4.58497      7.43065      4.40183      4.37576
195701      4.56435      7.47789      4.40916      4.37827
195801      4.55388      7.51355      4.44147      4.39568
195901      4.57471      7.53139      4.48300      4.42843
196001      4.56435      7.57358      4.46706      4.45085
196101      4.56435      7.59363      4.47734      4.46935
196201      4.56435      7.61796      4.48976      4.48639
196301      4.57471      7.66077      4.49870      4.49647
196401      4.58497      7.69462      4.51305      4.50866
196501      4.57471      7.76298      4.52613      4.52179
196601      4.58497      7.82596      4.54754      4.53475
196701      4.60517      7.89170      4.59613      4.54860
196801      4.61512      7.94736      4.60517      4.57161
196901      4.62497      8.01853      4.64054      4.60517
197001      4.63473      8.08308      4.69043      4.64823
197101      4.63473      8.15743      4.74406      4.70139
197201      4.64439      8.22689      4.77407      4.75961
197301      4.62497      8.29392      4.81624      4.80484
197401      4.63473      8.40771      4.95159      4.83469
197501      4.62497      8.48770      5.08574      4.87290
197601      4.65396      8.57380      5.16707      4.96773
DATE        PCFCL        PCYL1        FPL1         NFPL2
