196001      7.94709      8.30945      0.06200      NA
196002      7.99619      8.38724      0.06400     -0.02362
196003      7.94991      8.46536      0.06400      0.05600
196004      8.03075      8.47733      0.06200     -0.01632
196101      7.95179      8.37440      0.06000      0.02997
196102      8.02004      8.42085      0.05700     -0.02270
196103      8.00208      8.48200      0.06000      0.05171
196104      8.09002      8.48827      0.06000     -0.00554
196201      8.00665      8.38773      0.05800      0.02102
196202      8.07187      8.46133      0.06000     -0.02372
196203      8.05056      8.52533      0.06100      0.04348
196204      8.12213      8.52290      0.06200     -0.00852
196301      8.02250      8.36341      0.06100      0.02956
196302      8.10015      8.47884      0.06100     -0.03010
196303      8.08923      8.55772      0.06100      0.03065
196304      8.15384      8.56204      0.06100     -0.00315
196401      8.07513      8.44923      0.06000      0.02580
196402      8.15180      8.53876      0.06200     -0.02732
196403      8.12794      8.59346      0.06300      0.03090
196404      8.17440      8.59923      0.06300      0.01434
196501      8.11139      8.49679      0.06400      0.02200
196502      8.19326      8.57976      0.06800     -0.03051
196503      8.16177      8.62811      0.07100      0.03166
196504      8.20244      8.63849      0.07400      0.01123
196601      8.12045      8.53420      0.07400      0.02304
196602      8.19946      8.61140      0.07900     -0.03233
196603      8.15016      8.64307      0.08100      0.03449
196604      8.17932      8.63705      0.07600      0.00607
196701      8.11637      8.51668      0.07200      0.01346
196702      8.18811      8.59086      0.06900     -0.03186
196703      8.18908      8.63388      0.06900      0.01644
196704      8.26056      8.65921      0.07000      0.01692
196801      8.17207      8.54625      0.07000      0.00720
196802      8.23962      8.63022      0.06700     -0.01610
196803      8.22873      8.69908      0.06500      0.02556
196804      8.29426      8.72454      0.06500      0.00428
196901      8.20737      8.60949      0.06600      0.01910
196902      8.27587      8.69644      0.06900     -0.01306
196903      8.26053      8.76206      0.07200      0.02917
196904      8.28909      8.78150      0.07400      0.02220
197001      8.20306      8.65666      0.07900      0.02158
197002      8.24704      8.75560      0.08600      0.00675
197003      8.22846      8.79300      0.08400      0.02196
197004      8.29729      8.81798      0.08300      0.01621
197101      8.20231      8.71026      0.08000      0.03204
197102      8.27462      8.76891      0.08300      0.00317
197103      8.27257      8.80774      0.08400      0.02049
197104      8.32845      8.82389      0.08100      0.02051
197201      8.27811      8.74820      0.07800      0.01220
197202      8.35221      8.79899      0.08300     -0.00313
197203      8.34994      8.83501      0.08300      0.01887
197204      8.40654      8.87153      0.08700      0.02480
197301      8.34543      8.80664      0.08700      0.01628
197302      8.34405      8.84322      0.10200 2.89440e-004
197303      8.29442      8.87519      0.09800      0.01683
197304      8.35678      8.89890      0.09700      0.03858
197401      8.28539      8.81792      0.10700     -0.00144
197402      8.33047      8.84674      0.10900      0.01272
197403      8.31217      8.87236      0.10800      0.02390
197404      8.38408      8.88519      0.09900      0.04277
197501      8.33585      8.78855      0.08900     -0.01038
197502      8.40443      8.83069      0.08400      0.00558
197503      8.42019      8.86436      0.08700      0.00871
197504      8.47259      8.90537      0.08600      0.03892
197601      8.41744      8.84974      0.07800     -0.01962
197602      8.48858      8.89721      0.08300      0.00732
197603      8.45261      8.90954      0.08100      0.01808
197604      8.48419      8.96255      0.07400      0.02378
197701      8.46030      8.89151      0.07000     -0.01444
197702      8.50812      8.91999      0.06400      0.01101
197703      8.51129      8.92890      0.06000      0.01040
197704      8.55116      8.99150      0.06000      0.03547
197801      8.54841      8.92015      0.05600     -0.01576
197802      8.59167      8.95825      0.06000      0.01002
197803      8.58340      8.97035      0.06400      0.01806
197804      8.64754      9.02198      0.06600      0.02569
197901      8.61042      8.95535      0.07100     -0.01707
197902      8.64026      9.00604      0.08000      0.00350
197903      8.60136      9.01100      0.07800      0.02564
197904      8.64339      9.05714      0.08000      0.03151
198001      8.57495      8.99491      0.09500     -0.01328
198002      8.59737      9.00750      0.08300      0.01310
198003      8.58465      9.01156      0.08300      0.01515
198004      8.63230      9.04589      0.09100      0.03121
198101      8.55012      8.98262      0.10400     -0.02079
198102      8.58194      9.00281      0.11100      0.01045
198103      8.52950      9.01663      0.11300      0.01811
198104      8.57545      9.05362      0.09900      0.04050
198201      8.52380      8.97535      0.09600     -0.02015
198202      8.57418      9.00076      0.09200      0.00381
198203      8.54430      9.00043      0.08800      0.02156
198204      8.60722      9.04002      0.08000      0.03271
198301      8.59182      8.98458      0.07400     -0.02017
198302      8.64983      9.01993      0.08100     -0.00333
198303      8.61716      9.02569      0.08400      0.01929
198304      8.66071      9.08019      0.08300      0.03455
198401      8.60560      9.02995      0.07900     -0.02622
