190001      7.40890      7.66392      7.46904      6.93130      7.38342      6.85675      7.21622      7.67152      7.10522      7.30459      7.93139
190101      7.40265      7.66085      7.49667      6.91175      7.36683      6.81841      7.26228      7.63322      7.12063      7.28632      7.92153
190201      7.43070      7.66621      7.50783      6.88394      7.34923      6.82650      7.26259      7.66677      7.13228      7.27898      7.93931
190301      7.42919      7.67497      7.55252      6.94162      7.36821      6.86576      7.27165      7.67811      7.12252      7.34588      7.91894
190401      7.43427      7.68755      7.56258      6.96808      7.37369      6.89081      7.26769      7.65407      7.11724      7.34991      7.91614
190501      7.47858      7.70327      7.56826      6.97432      7.38953      6.89788      7.29603      7.67234      7.12418      7.35396      7.93817
190601      7.50618      7.71245      7.58426      7.00402      7.40575      6.91362      7.31226      7.70511      7.15546      7.40972      7.96396
190701      7.55589      7.71605      7.60782      7.02615      7.44632      6.94300      7.40158      7.69490      7.18803      7.42366      7.97486
190801      7.55034      7.71625      7.62543      7.02312      7.43835      6.94622      7.39246      7.68050      7.21270      7.41267      7.92124
190901      7.53710      7.72580      7.64948      7.05294      7.47599      6.95278      7.44333      7.71475      7.23005      7.39685      7.93582
191001      7.54148      7.74889      7.66576      7.06463      7.41289      6.97509      7.38334      7.71353      7.25762      7.44693      7.95927
191101      7.56397      7.76927      7.70401      7.08163      7.50069      6.99342      7.43262      7.72843      7.28076      7.46350      7.98176
191201      7.60470      7.78301      7.69309      7.12367      7.57555      7.02690      7.44716      7.76850      7.31590      7.48398      7.99346
191301      7.59334      7.78616      7.71749      7.16639      7.56744      7.05835      7.48938      7.78327      7.36050      7.49434      8.02883
191401      7.40726      7.71414      7.76449      7.11284      7.49355      6.88613      7.46520      7.73773      7.37210      7.47856      8.03015
191501      7.32598      7.69681      7.68441      7.05155      7.49716      6.83298      7.55655      7.75246      7.40379      7.47204      8.10632
191601      7.31692      7.75264      7.71257      7.05757      7.56133      6.84529      7.65418      7.76020      7.42562      7.45202      8.12575
